ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
9400ZZMARND,mantwgwt,,,Roundthorn (Manchester Metrolink),,Roundthorn,,Wythenshawe Hospital,,Southmoor Road,,,,,,,E0029271,Roundthorn,Wythenshawe,,,,,,1,UKOS,380868,388461,-2.28915579337,53.3926344276,MET,,,,,,147,2014-09-12T11:15:00,2021-04-27T12:13:28,5,revise,active
9400ZZMARND1,mantwjad,,,Roundthorn (Manchester Metrolink),,Roundthorn,,Wythenshawe Hospital,,Southmoor Road,,,,To Airport,,,E0029271,Roundthorn,Wythenshawe,,,,,,1,UKOS,380873,388463,-2.28908073047,53.39265258672,PLT,,,,,,147,2014-09-12T11:17:00,2021-04-16T09:27:13,4,revise,active
9400ZZMARND2,mantwjag,,,Roundthorn (Manchester Metrolink),,Roundthorn,,Wythenshawe Hospital,,Southmoor Road,,,,To Manchester,,,E0029271,Roundthorn,Wythenshawe,,,,,,1,UKOS,380865,388459,-2.2892007823,53.39261634135,PLT,,,,,,147,2014-09-12T11:19:00,2021-04-16T09:27:13,4,revise,active
9400ZZMARRS,mantpwgd,,,Rochdale Railway Station (Manchester Metrolink),,Rochdale Railway Station,,GM Fire Service Museum,,Maclure Rd,,,,,,,E0057799,Rochdale,,,,,,,0,UKOS,389878,412731,-2.15446389589,53.61103368057,MET,,,,,,147,2012-10-17T16:15:00,2021-04-27T12:13:28,3,revise,active
9400ZZMARRS1,mantpwgj,,,Rochdale Railway Station (Manchester Metrolink),,Rochdale Railway Station,,GM Fire Service Museum,,Maclure Rd,,,,To Rochdale,,,E0057799,Rochdale,,,,,,,0,UKOS,389878,412731,-2.15446389589,53.61103368057,PLT,,,,,,147,2012-10-17T16:16:00,2021-04-16T09:27:13,3,revise,active
9400ZZMARRS2,mantpwgm,,,Rochdale Railway Station (Manchester Metrolink),,Rochdale Railway Station,,GM Fire Service Museum,,Maclure Rd,,,,To Manchester,,,E0057799,Rochdale,,,,,,,0,UKOS,389880,412731,-2.15443366673,53.61103371965,PLT,,,,,,147,2012-10-17T16:16:00,2021-04-16T09:27:13,3,revise,active
9400ZZMARWD,mantwjga,,,Robinswood Road (Manchester Metrolink),,Robinswood Road,,,,Simonsway,,,,,,,E0029594,Wythenshawe,Manchester,,,,,,0,UKOS,382897,386643,-2.25854661447,53.37636341019,MET,,,,,,147,2014-09-12T11:46:00,2021-04-27T12:13:28,3,revise,active
9400ZZMARWD1,mantwjgd,,,Robinswood Road (Manchester Metrolink),,Robinswood Road,,,,Simonsway,,,,To Airport,,,E0029594,Wythenshawe,Manchester,,,,,,0,UKOS,382809,386688,-2.2598718308,53.37676501776,PLT,,,,,,147,2014-09-12T11:47:00,2021-04-16T09:27:13,2,revise,active
9400ZZMARWD2,mantwjgj,,,Robinswood Road (Manchester Metrolink),,Robinswood Road,,,,Simonsway,,,,To Manchester,,,E0029594,Wythenshawe,Manchester,,,,,,0,UKOS,382969,386619,-2.25746306064,53.37615002743,PLT,,,,,,147,2014-09-12T11:48:00,2021-04-16T09:27:13,2,revise,active
9400ZZMASCH,mantpmwm,,,South Chadderton (Manchester Metrolink),,South Chadderton,,Coalshaw Green Park,,Off Canal Street,,,,,,,E0029538,White Gate,Chadderton,,,,,,0,UKOS,390474,403350,-2.14516604326,53.52672601057,MET,,,,,,147,2012-04-04T16:13:00,2021-04-27T12:13:28,3,revise,active
9400ZZMASCH1,mantpmwp,,,South Chadderton (Manchester Metrolink),,South Chadderton,,Coalshaw Green Park,,Off Canal Street,,,,To Rochdale,,,E0029538,White Gate,Chadderton,,,,,,0,UKOS,390468,403351,-2.14525658141,53.52673488879,PLT,,,,,,147,2012-04-04T16:16:00,2021-04-16T09:27:13,3,revise,active
9400ZZMASCH2,mantpmwt,,,South Chadderton (Manchester Metrolink),,South Chadderton,,Coalshaw Green Park,,Off Canal Street,,,,To Manchester,,,E0029538,White Gate,Chadderton,,,,,,0,UKOS,390479,403349,-2.1450905897,53.52671711393,PLT,,,,,,147,2012-04-04T16:17:00,2021-04-16T09:27:13,3,revise,active
9400ZZMASDW,mantwjma,,,Shadowmoss (Manchester Metrolink),,Shadowmoss,,Ringway Trading Estate,,Shadow Moss Road,,,,,,,E0029575,Woodhouse Park,Wythenshawe,,,,,,0,UKOS,383299,385706,-2.25245418675,53.36795412191,MET,,,,,,147,2014-09-12T11:56:00,2021-04-27T12:13:28,4,revise,active
