"StationName","NaptanCode","HubNaptan","Latitude","Longitude","Lift","SameLevel","Interchange","FareZones","Wifi"
"Stepney Green Underground Station","940GZZLUSGN","",51.521858,-0.046596,0,FALSE,0,"2",TRUE
"Stockwell Underground Station","940GZZLUSKW","",51.472184,-0.122644,0,FALSE,0,"2",TRUE
"Stoke Newington Rail Station","910GSTKNWNG","",51.565233,-0.072887,0,FALSE,0,"2",TRUE
"Stonebridge Park Rail Station","910GSTNBGPK","HUBSBP",51.544111,-0.275828,0,FALSE,0,"3",TRUE
"Stonebridge Park Underground Station","940GZZLUSGP","HUBSBP",51.543959,-0.275892,0,FALSE,0,"3",TRUE
"Stratford (London) Rail Station","910GSTFD","HUBSRA",51.541895,-0.003397,17,FALSE,0,"2|3",TRUE
"Stratford Underground Station","940GZZLUSTD","HUBSRA",51.541806,-0.003458,17,FALSE,0,"2|3",TRUE
"Sudbury Hill Underground Station","940GZZLUSUH","",51.556946,-0.336435,2,FALSE,0,"4",TRUE
"Sudbury Town Underground Station","940GZZLUSUT","",51.550815,-0.315745,0,FALSE,2,"4",TRUE
"Surrey Quays Rail Station","910GSURREYQ","",51.493196,-0.047519,0,FALSE,0,"2",FALSE
"Swiss Cottage Underground Station","940GZZLUSWC","",51.543681,-0.174894,0,FALSE,0,"2",TRUE
"Sydenham Rail Station","910GSYDENHM","HUBSYD",51.427248,-0.054244,0,FALSE,2,"3",FALSE
"Taplow Rail Station","910GTAPLOW","",51.523562,-0.68137,3,FALSE,0,"Outside",FALSE
"Temple Underground Station","940GZZLUTMP","",51.511006,-0.11426,0,FALSE,0,"1",TRUE
"Theobalds Grove Rail Station","910GTHBLDSG","",51.692457,-0.034831,0,FALSE,0,"7",TRUE
"Theydon Bois Underground Station","940GZZLUTHB","",51.671759,0.103085,0,FALSE,0,"6",TRUE
"Tooting Bec Underground Station","940GZZLUTBC","",51.435678,-0.159736,0,FALSE,0,"3",TRUE
"Tooting Broadway Underground Station","940GZZLUTBY","",51.42763,-0.168374,0,FALSE,0,"3",TRUE
"Tottenham Court Road","910GTOTCTRD","HUBTCR",51.515974,-0.130241,9,FALSE,0,"1",FALSE
"Tottenham Court Road Underground Station","940GZZLUTCR","HUBTCR",51.516426,-0.13041,9,FALSE,0,"1",FALSE
"Tottenham Hale Underground Station","940GZZLUTMH","HUBTOM",51.588108,-0.060241,1,FALSE,0,"3",TRUE
"Totteridge & Whetstone Underground Station","940GZZLUTAW","",51.630597,-0.17921,0,FALSE,0,"4",TRUE
"Tower Hill Underground Station","940GZZLUTWH","",51.509971,-0.076546,2,FALSE,2,"1",TRUE
"Tufnell Park Underground Station","940GZZLUTFP","",51.556822,-0.138433,0,FALSE,0,"2",TRUE
"Turkey Street Rail Station","910GTURKYST","",51.672628,-0.047217,0,FALSE,0,"6",TRUE
"Turnham Green Underground Station","940GZZLUTNG","",51.495148,-0.254555,0,FALSE,0,"2|3",TRUE
"Turnpike Lane Underground Station","940GZZLUTPN","",51.590272,-0.102953,0,FALSE,0,"3",TRUE
"Twyford Rail Station","910GTWYFORD","",51.475534,-0.863293,3,FALSE,0,"Outside",TRUE
"Upminster Bridge Underground Station","940GZZLUUPB","",51.55856,0.235809,0,FALSE,0,"6",TRUE
"Upminster Rail Station","910GUPMNSTR","HUBUPM",51.559018,0.25088,3,FALSE,0,"6",TRUE
"Upminster Underground Station","940GZZLUUPM","HUBUPM",51.559063,0.250882,3,FALSE,0,"6",TRUE
